Oarb_91384_c0_g1_i1	Oarb_91384_c0_g1
Oarb_56942_c0_g1_i1	Oarb_56942_c0_g1
Oarb_82237_c0_g1_i1	Oarb_82237_c0_g1
Oarb_98671_c0_g1_i1	Oarb_98671_c0_g1
Oarb_98700_c1_g1_i1	Oarb_98700_c1_g1
Oarb_98674_c1_g1_i4	Oarb_98674_c1_g1
Oarb_98674_c1_g1_i1	Oarb_98674_c1_g1
Oarb_98654_c0_g1_i4	Oarb_98654_c0_g1
Oarb_98654_c0_g1_i1	Oarb_98654_c0_g1
Oarb_98654_c0_g1_i3	Oarb_98654_c0_g1
Oarb_98692_c0_g1_i4	Oarb_98692_c0_g1
Oarb_98694_c0_g1_i2	Oarb_98694_c0_g1
Oarb_98651_c0_g1_i2	Oarb_98651_c0_g1
Oarb_98648_c0_g1_i3	Oarb_98648_c0_g1
Oarb_98638_c0_g1_i2	Oarb_98638_c0_g1
Oarb_98661_c0_g1_i4	Oarb_98661_c0_g1
Oarb_98661_c0_g1_i1	Oarb_98661_c0_g1
Oarb_98661_c0_g1_i2	Oarb_98661_c0_g1
Oarb_98701_c3_g1_i2	Oarb_98701_c3_g1
Oarb_98701_c3_g1_i1	Oarb_98701_c3_g1
Oarb_31523_c0_g1_i1	Oarb_31523_c0_g1
Oarb_89554_c0_g1_i1	Oarb_89554_c0_g1
Oarb_89596_c0_g1_i1	Oarb_89596_c0_g1
Oarb_89596_c0_g2_i2	Oarb_89596_c0_g2
Oarb_89548_c0_g1_i1	Oarb_89548_c0_g1
Oarb_89527_c0_g1_i1	Oarb_89527_c0_g1
Oarb_73165_c0_g2_i1	Oarb_73165_c0_g2
Oarb_90473_c1_g1_i1	Oarb_90473_c1_g1
Oarb_90476_c0_g1_i1	Oarb_90476_c0_g1
Oarb_90476_c0_g1_i2	Oarb_90476_c0_g1
Oarb_90432_c0_g1_i2	Oarb_90432_c0_g1
Oarb_90432_c0_g2_i1	Oarb_90432_c0_g2
Oarb_89613_c1_g1_i1	Oarb_89613_c1_g1
Oarb_22504_c0_g1_i1	Oarb_22504_c0_g1
Oarb_90603_c0_g1_i1	Oarb_90603_c0_g1
Oarb_90603_c0_g2_i1	Oarb_90603_c0_g2
Oarb_90554_c0_g1_i1	Oarb_90554_c0_g1
Oarb_90533_c0_g1_i3	Oarb_90533_c0_g1
Oarb_81403_c0_g1_i2	Oarb_81403_c0_g1
Oarb_81430_c0_g1_i1	Oarb_81430_c0_g1
Oarb_13585_c0_g1_i1	Oarb_13585_c0_g1
Oarb_97846_c0_g1_i1	Oarb_97846_c0_g1
Oarb_97928_c0_g1_i2	Oarb_97928_c0_g1
Oarb_97918_c0_g1_i4	Oarb_97918_c0_g1
Oarb_97918_c0_g1_i5	Oarb_97918_c0_g1
Oarb_97918_c0_g1_i1	Oarb_97918_c0_g1
Oarb_97918_c0_g1_i2	Oarb_97918_c0_g1
Oarb_97918_c0_g1_i3	Oarb_97918_c0_g1
Oarb_97854_c0_g1_i1	Oarb_97854_c0_g1
Oarb_97854_c0_g1_i2	Oarb_97854_c0_g1
Oarb_97882_c0_g1_i2	Oarb_97882_c0_g1
Oarb_97863_c0_g1_i3	Oarb_97863_c0_g1
Oarb_97837_c0_g1_i1	Oarb_97837_c0_g1
Oarb_97855_c0_g1_i1	Oarb_97855_c0_g1
